"Volts (V)","Time (s)","Current (A)","Volts (V)","Time (s)","Current (A)","Volts (V)","Time (s)","Current (A)","Volts (V)","Time (s)","Current (A)","Volts (V)","Time (s)","Current (A)",D1,Dsnref,Dspref,EaDsn,EaDsp,Eakn,Eakp,Rpn,Rpp,brugn,brugp,brugs,c0,cpn,cpp,cps,ctn,ctp,efn,efp,en,ep,es,henv,knref,kpref,lambdan,lambdap,lambdas,ln1,lp,ls,rhon,rhop,rhos,sigma,sigman,sigmap,socn,socp,t1
4.11960722755469,200.,1,4.04783112198748,200.,2,3.9843066483962,200.,3,3.92672999870135,200.,4,3.87383486169768,200.,5,.15e-8,.72e-13,.75e-13,5000,5000,5000,5000,.900e-5,.8e-5,1.5,1.5,1.5,1200,778.5,1116.7,700,30555.,45829.,.3260e-1,.25e-1,.38,.4,.45,2.87,.10307e-9,.1334e-9,1.874,1.678,.16,.465e-4,.43e-4,.16e-4,1592.75,2887.15,1100,100,48.24,59,.9867,.424,.363
4.0869012405534,268.298268511787,0,4.01908867408899,233.476077386877,0,3.95902043792395,221.871792756911,0,3.90462596111628,216.071370703394,0,3.85414060186029,212.591934286776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.05604134920939,336.596537023573,0,3.99279470739135,266.952154773754,0,3.93638464466556,243.743585513822,0,3.88454411770915,232.142741406788,0,3.83571683429893,225.183868573551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.02829152550553,404.89480553536,0,3.96945633713488,300.428232160631,0,3.91584983070743,265.615378270734,0,3.86574176849675,248.214112110182,0,3.81796301613661,237.775802860327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.00392492614436,473.193074047147,0,3.94830409264944,333.904309547509,0,3.89658502104416,287.487171027645,0,3.84756215283358,264.285482813576,0,3.80030862614125,250.367737147102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.98189003929503,541.491342558934,0,3.9284164344006,367.380386934386,0,3.87787849667636,309.358963784556,0,3.82939308670818,280.356853516969,0,3.78219505027379,262.959671433878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.96114475630081,609.78961107072,0,3.9090164512165,400.856464321263,0,3.85907238862428,331.230756541467,0,3.81063785496834,296.428224220363,0,3.76306680813929,275.551605720653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.94082572349606,678.087879582507,0,3.88939249147369,434.33254170814,0,3.83952780233778,353.102549298378,0,3.79070368932506,312.499594923757,0,3.74251668160907,288.143540007429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.92015252880734,746.386148094294,0,3.86885683810615,467.808619095017,0,3.81862482980468,374.97434205529,0,3.76932439118678,328.570965627151,0,3.721000631511,300.735474294205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.89837794925285,814.684416606081,0,3.84681601102368,501.284696481894,0,3.79636008480399,396.846134812201,0,3.74716529590514,344.642336330545,0,3.69932347519819,313.32740858098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.87506818000934,882.982685117867,0,3.82362724893667,534.760773868771,0,3.77356689727809,418.717927569112,0,3.7250755971214,360.713707033939,0,3.67825117714349,325.919342867756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.85094175772288,951.280953629654,0,3.80021979691059,568.236851255649,0,3.75113081344458,440.589720326023,0,3.70387417523923,376.785077737333,0,3.65842878402284,338.511277154531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.82699098079881,1019.57922214144,0,3.77753621581876,601.712928642526,0,3.729882782401,462.461513082934,0,3.68404586278477,392.856448440727,0,3.63990721333297,351.103211441307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.80419000150019,1087.87749065323,0,3.75630493856643,635.189006029403,0,3.71008854512711,484.333305839846,0,3.66555628359335,408.92781914412,0,3.62261457204688,363.695145728082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.78300504057214,1156.17575916501,0,3.73657294020884,668.66508341628,0,3.69166731413588,506.205098596757,0,3.64832895279777,424.999189847514,0,3.60648211352116,376.287080014858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.76336621968872,1224.4740276768,0,3.71825298386183,702.141160803157,0,3.67454020841314,528.076891353668,0,3.63228630275688,441.070560550908,0,3.59143588163436,388.879014301633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.74517746304303,1292.77229618859,0,3.70125606482972,735.617238190034,0,3.65862135877177,549.948684110579,0,3.61734955253357,457.141931254302,0,3.57740143155116,401.470948588409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.72834193746712,1361.07056470037,0,3.68549228071819,769.093315576912,0,3.64382881286101,571.82047686749,0,3.60343945666176,473.213301957696,0,3.56430404819829,414.062882875185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.71276250993123,1429.36883321216,0,3.67087111189428,802.569392963789,0,3.6300765936299,593.692269624402,0,3.59047816923353,489.28467266109,0,3.55206832149323,426.65481716196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.69834155743113,1497.66710172395,0,3.65730204183425,836.045470350666,0,3.61727930664737,615.564062381313,0,3.57838441107006,505.356043364484,0,3.54061797642238,439.246751448736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.68498108910258,1565.96537023573,0,3.64469340681024,869.521547737543,0,3.60535191711406,637.435855138224,0,3.56707539528963,521.427414067878,0,3.52987582843257,451.838685735511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.6725829204182,1634.26363874752,0,3.63295295086422,902.99762512442,0,3.59420592196241,659.307647895135,0,3.55647006904631,537.498784771272,0,3.51976534283261,464.430620022287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.66104840405504,1702.56190725931,0,3.62198802535515,936.473702511297,0,3.58375698565055,681.179440652046,0,3.5464886391806,553.570155474665,0,3.51021111164357,477.022554309062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.65027889622753,1770.86017577109,0,3.61170622970345,969.949779898174,0,3.57391469194211,703.051233408958,0,3.53704556579926,569.641526178059,0,3.50113404833539,489.614488595838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.64017525608625,1839.15844428288,0,3.60201449660749,1003.42585728505,0,3.56459414051566,724.923026165869,0,3.528059834773,585.712896881453,0,3.49245420375761,502.206422882614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
