"Volts (V)","Time (s)","Current (A)","Volts (V)","Time (s)","Current (A)","Volts (V)","Time (s)","Current (A)","Volts (V)","Time (s)","Current (A)","Volts (V)","Time (s)","Current (A)",D1,Dsnref,Dspref,EaDsn,EaDsp,Eakn,Eakp,Rpn,Rpp,brugn,brugp,brugs,c0,cpn,cpp,cps,ctn,ctp,efn,efp,en,ep,es,henv,knref,kpref,lambdan,lambdap,lambdas,ln1,lp,ls,rhon,rhop,rhos,sigma,sigman,sigmap,socn,socp,t1
4.22,200.,1,4.22,200.,2,4.19170576356928,200.,3,4.13556366403303,200.,4,4.08020446885091,200.,5,.15e-8,.72e-13,.75e-13,5000,5000,5000,5000,.10e-4,.8e-5,1.5,1.5,1.5,1200,778.5,1116.7,700,30555.,45829.,.3260e-1,.25e-1,.38,.4,.45,2.87,.10307e-9,.1334e-9,1.874,1.678,.16,.465e-4,.43e-4,.16e-4,1592.75,2887.15,1100,100,48.24,59,.9867,.33920,.363
4.22,196.000028819516,0,4.22,196.000113844387,0,4.16639521469053,225.159345486689,0,4.10883989213691,218.501738088389,0,4.05212302598204,214.50129373227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.22,192.000057639033,0,4.22,192.000227688775,0,4.13807375145588,250.318690973378,0,4.07953951265401,237.003476176777,0,4.02215502391756,229.002587464539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.22,188.000086458549,0,4.22,188.000341533162,0,4.10740647211445,275.478036460067,0,4.04852304753667,255.505214265166,0,3.99114056428887,243.503881196809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.22,184.000115278065,0,4.22,184.000455377549,0,4.07525060760175,300.637381946756,0,4.01666814804723,274.006952353555,0,3.9599371727236,258.005174929078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.22,180.000144097582,0,4.22,180.000569221937,0,4.0425398699007,325.796727433445,0,3.98488435441689,292.508690441943,0,3.929398992734,272.506468661348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.22,176.000172917098,0,4.22,176.000683066324,0,4.01022951411132,350.956072920134,0,3.95407822775961,311.010428530332,0,3.900376285014,287.007762393618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.22,172.000201736614,0,4.22,172.000796910711,0,3.97927789190684,376.115418406824,0,3.92515317239672,329.512166618721,0,3.87370236511721,301.509056125887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.22,168.00023055613,0,4.22,168.000910755099,0,3.95064061120977,401.274763893513,0,3.89889376371448,348.01390470711,0,3.84954746871702,316.010349858157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.22,164.000259375647,0,4.22,164.001024599486,0,3.92482984327315,426.434109380202,0,3.87499226140382,366.515642795498,0,3.82712416383468,330.511643590426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.22,160.000288195163,0,4.22,160.001138443873,0,3.90109750097155,451.593454866891,0,3.85253767078072,385.017380883887,0,3.80556786508816,345.012937322696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.22,156.000317014679,0,4.22,156.001252288261,0,3.87846915209594,476.75280035358,0,3.83061020407278,403.519118972276,0,3.78401203585745,359.514231054966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.22,152.000345834196,0,4.22,152.001366132648,0,3.85596782104398,501.912145840269,0,3.80828782441238,422.020857060664,0,3.76158828931486,374.015524787235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.22,148.000374653712,0,4.22,148.001479977035,0,3.83261434103981,527.071491326958,0,3.78465566166357,440.522595149053,0,3.73749862805578,388.516818519505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.22,144.000403473228,0,4.22,144.001593821423,0,3.80751101915505,552.230836813647,0,3.75924369458299,459.024333237442,0,3.71208816278664,403.018112251774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.22,140.000432292745,0,4.22,140.00170766581,0,3.78098443042512,577.390182300336,0,3.73304879896214,477.526071325831,0,3.68651414984671,417.519405984044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.22,136.000461112261,0,4.22,136.001821510197,0,3.75435891883797,602.549527787025,0,3.70734789557554,496.027809414219,0,3.66195304922302,432.020699716314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
