"Volts (V)","Time (s)","Current (A)","Volts (V)","Time (s)","Current (A)","Volts (V)","Time (s)","Current (A)","Volts (V)","Time (s)","Current (A)","Volts (V)","Time (s)","Current (A)",D1,Dsnref,Dspref,EaDsn,EaDsp,Eakn,Eakp,Rpn,Rpp,brugn,brugp,brugs,c0,cpn,cpp,cps,ctn,ctp,efn,efp,en,ep,es,henv,knref,kpref,lambdan,lambdap,lambdas,ln1,lp,ls,rhon,rhop,rhos,sigma,sigman,sigmap,socn,socp,t1
4.10777431955487,200.,1,4.02739481673861,200.,2,3.95708598367191,200.,3,3.89427749319475,200.,4,3.83663018074281,200.,5,.15e-8,.72e-13,.6000e-13,5000,5000,5000,5000,.10e-4,.8e-5,1.5,1.5,1.5,1200,778.5,1116.7,700,30555.,45829.,.3260e-1,.25e-1,.38,.4,.45,2.87,.10307e-9,.1334e-9,1.874,1.678,.16,.465e-4,.43e-4,.16e-4,1592.75,2887.15,1100,100,48.24,59,.9867,.424,.363
4.07583395160466,268.003443153538,0,4.00007887658971,233.178294799306,0,3.9340385437872,221.572864861859,0,3.8744512075776,215.771776977643,0,3.81877644132986,212.291817834815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.04591568950477,336.006886307077,0,3.97549332729519,266.356589598612,0,3.9132547854609,243.145729723717,0,3.85591582376559,231.543553955287,0,3.80149201657052,224.583635669629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.01920467481823,404.010329460615,0,3.95353301101487,299.534884397917,0,3.89395584607933,264.718594585576,0,3.83806076134779,247.31533093293,0,3.78425736245363,236.875453504444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.99563927840796,472.013772614153,0,3.93328889815452,332.713179197223,0,3.87544146697475,286.291459447435,0,3.8203096354635,263.087107910573,0,3.76655483035646,249.167271339259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.97412522209049,540.017215767692,0,3.91395010197313,365.891473996529,0,3.85707421947372,307.864324309293,0,3.80209947797763,278.858884888216,0,3.74786766976358,261.459089174073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.95369294465285,608.02065892123,0,3.89480254502273,399.069768795835,0,3.83823982896848,329.437189171152,0,3.78287066452473,294.63066186586,0,3.72782107948918,273.750907008888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.93352119115988,676.024102074768,0,3.87517053775562,432.248063595141,0,3.81833101000404,351.010054033011,0,3.76221724058281,310.402438843503,0,3.70684503899481,286.042724843703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.91285329105121,744.027545228307,0,3.85439155633228,465.426358394447,0,3.79694238987828,372.582918894869,0,3.74061873082998,326.174215821146,0,3.68568537485223,298.334542678517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.89095951753909,812.030988381845,0,3.83210163988396,498.604653193753,0,3.77463528949191,394.155783756728,0,3.71886173081919,341.94599279879,0,3.66506053596818,310.626360513332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.86758579666992,880.034431535383,0,3.8089876283534,531.782947993058,0,3.75226184053942,415.728648618587,0,3.69774613619825,357.717769776433,0,3.64559518688374,322.918178348147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.84355876868054,948.037874688922,0,3.78596462672384,564.961242792364,0,3.73067886576297,437.301513480445,0,3.67788816927506,373.489546754076,0,3.62737842844998,335.209996182961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.81986080306676,1016.04131784246,0,3.76394078755471,598.13953759167,0,3.71046928312116,458.874378342304,0,3.65934016428454,389.261323731719,0,3.61034034039843,347.501814017776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.79742667025898,1084.044760996,0,3.74340819470756,631.317832390976,0,3.69163353938555,480.447243204163,0,3.64203095435608,405.033100709363,0,3.59441718870472,359.793631852591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.77659397804544,1152.04820414954,0,3.72431838857559,664.496127190282,0,3.67409648832955,502.020108066021,0,3.62588818692858,420.804877687006,0,3.57954150957986,372.085449687405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.75727747017776,1220.05164730308,0,3.70658635596516,697.674421989588,0,3.6577763177952,523.59297292788,0,3.61083800389838,436.576654664649,0,3.56564337566323,384.37726752222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
