"Volts (V)","Time (s)","Current (A)","Volts (V)","Time (s)","Current (A)","Volts (V)","Time (s)","Current (A)","Volts (V)","Time (s)","Current (A)","Volts (V)","Time (s)","Current (A)",D1,Dsnref,Dspref,EaDsn,EaDsp,Eakn,Eakp,Rpn,Rpp,brugn,brugp,brugs,c0,cpn,cpp,cps,ctn,ctp,efn,efp,en,ep,es,henv,knref,kpref,lambdan,lambdap,lambdas,ln1,lp,ls,rhon,rhop,rhos,sigma,sigman,sigmap,socn,socp,t1
4.05866166020526,200.,1,3.9867908765556,200.,2,3.92500030251902,200.,3,3.869779714207,200.,4,3.81831439278372,200.,5,.15e-8,.72e-13,.75e-13,5000,5000,5000,5000,.10e-4,.8e-5,1.5,1.5,1.5,1200,778.5,1116.7,700,30555.,45829.,.3260e-1,.25e-1,.38,.4,.45,2.87,.10307e-9,.1334e-9,1.874,1.678,.16,.465e-4,.43e-4,.16e-4,1592.75,2887.15,1100,100,48.24,59,.9867,.44520,.363
4.03057869899385,265.729428691453,0,3.96343648507479,232.184559365095,0,3.90515921257881,221.005566074135,0,3.85192866323142,215.417498123537,0,3.8014919859306,212.065224772501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.00522359985135,331.458857382906,0,3.9425657933249,264.36911873019,0,3.88675382986548,242.011132148271,0,3.83470282668358,230.834996247073,0,3.78475129205452,224.130449545002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.98267885009797,397.188286074358,0,3.92333991885871,296.553678095285,0,3.86901404361435,263.016698222406,0,3.8175301790296,246.25249437061,0,3.76760054080137,236.195674317502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.96212518934213,462.917714765811,0,3.90485522942312,328.73823746038,0,3.85128792267248,284.022264296542,0,3.79987118518666,261.669992494147,0,3.74954971641268,248.260899090003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.94249306316858,528.647143457264,0,3.88635840911821,360.922796825475,0,3.83298388773222,305.027830370677,0,3.78119961403254,277.087490617684,0,3.73018842646548,260.326123862504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.92287932444392,594.376572148717,0,3.86719008115676,393.10735619057,0,3.81353427581555,326.033396444812,0,3.76114246542662,292.50498874122,0,3.70980476464152,272.391348635005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.90252542299808,660.106000840169,0,3.8467399915606,425.291915555665,0,3.79267733255614,347.038962518948,0,3.74016261859871,307.922486864757,0,3.68910303150208,284.456573407506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.88079880294111,725.835429531622,0,3.82495036724121,457.476474920761,0,3.77103896454241,368.044528593083,0,3.71899469798618,323.339984988294,0,3.66876664370154,296.521798180006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.85793154534893,791.564858223075,0,3.80259282253209,489.661034285856,0,3.74941193105788,389.050094667219,0,3.69838386922741,338.757483111831,0,3.6494427152787,308.587022952507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
